neighborhood,borough,1 common,2 common,3 common,4 common,5 common,6 common,7 common,8 common,9 common,10 common
Allerton,Bronx,Pizzeria,Hair Salon,Drugstore,Fast Food Restaurant,Bagel Shop,Furniture and Home Store,Barbershop,Deli,American Restaurant,Chinese Restaurant
Annadale,Staten Island,Diner,Pizzeria,Dance Studio,Hiking Trail,Italian Restaurant,Playground,Chinese Restaurant,Eyecare Store,Sushi Restaurant,Hair Salon
Arden Heights,Staten Island,Playground,Park,Chinese Restaurant,Restaurant,Bridge,Sushi Restaurant,Spa,Shopping Mall,Bank,Hiking Trail
Arlington,Staten Island,Deli,Laundry Service,Storage Facility,Food Truck,General Contractor,Car Parts and Accessories,Organization,Fast Food Restaurant,Hardware Store,Coffee Shop
Arrochar,Staten Island,Baseball Field,Sporting Goods Retail,American Restaurant,Pizzeria,Beach,Grocery Store / Supermarket,Plaza,Lounge,Sports and Recreation,Optometrist
Arverne,Queens,Beach,Grocery Store / Supermarket,Surf Spot,Bagel Shop,Automotive Repair Shop,Automotive Retail,Caribbean Restaurant,Nursing Home,Brewery,Taco Restaurant
Astoria,Queens,Restaurant,Greek Restaurant,Pizzeria,Coffee Shop,Mediterranean Restaurant,Bar,Bakery,Deli,Bagel Shop,Cocktail Bar
Astoria Heights,Queens,Park,Pizzeria,Bakery,Greek Restaurant,Automotive Repair Shop,Burger Joint,Deli,Grocery Store / Supermarket,Bar,Baseball Field
Auburndale,Queens,Korean Restaurant,Restaurant,Pizzeria,Bar,Fast Food Restaurant,Ice Cream Parlor,Chinese Restaurant,Asian Restaurant,Café,Liquor Store
Bath Beach,Brooklyn,Pizzeria,Department Store,Nail Salon,Health and Beauty Service,Coffee Shop,Sushi Restaurant,Park,Bakery,Bubble Tea Shop,Barbershop
Battery Park City,Manhattan,Park,Cocktail Bar,Coffee Shop,American Restaurant,Grocery Store / Supermarket,Playground,Café,Memorial Site,Bakery,River
